date,campaign_id,campaign_name,channel,region,device,impressions,clicks,visits,unique_visitors,pageviews,bounce_rate,avg_page_load_time_ms,step1_landing,step2_product_view,step3_add_to_cart,step4_checkout_start,step5_purchase,conversions,revenue,spend,roas,anomaly_flag,anomaly_type
2025-01-01,C01,Campaign 1,Search,US,iOS,24544,1555,1448,1175,3995,0.4763370252405913,2106.9738916611636,1448,732,503,418,281,281,10729.281578519527,951.3298217975523,11.27819325399301,0,
2025-01-01,C01,Campaign 1,Search,UK,iOS,15333,733,749,620,1292,0.2937324958634074,944.1517375695042,749,550,208,146,117,117,2883.4698288239733,976.9616399543825,2.951466783238912,0,
2025-01-01,C01,Campaign 1,Search,EU,iOS,16248,242,222,207,442,0.3489202220209653,1376.91562841764,222,113,75,45,37,37,1893.3309815308207,286.55598391255137,6.607194013818294,0,
2025-01-01,C01,Campaign 1,Search,APAC,iOS,14828,378,411,402,935,0.26927317257079136,1166.682314585245,411,238,150,96,67,67,4976.063757160266,203.95790696878245,24.39750353940382,0,
2025-01-01,C01,Campaign 1,Search,US,Android,20977,356,334,267,891,0.43247996179967607,2172.5120476464795,334,244,80,51,32,32,3401.930962801899,484.02002635603804,7.028492164701236,0,
2025-01-01,C01,Campaign 1,Search,UK,Android,13959,205,214,198,598,0.2669736098787614,1769.6785019887259,214,152,91,65,56,56,3885.255339640588,243.67239103962493,15.94458577380966,0,
2025-01-01,C01,Campaign 1,Search,EU,Android,16355,196,201,173,425,0.332426248972999,1942.8450286046987,201,125,75,44,27,27,1322.3289228671738,112.51893291303428,11.752057086154558,0,
2025-01-01,C01,Campaign 1,Search,APAC,Android,15352,1022,1084,907,3042,0.4597489706839821,1870.2213175819331,1084,833,355,193,131,131,8215.112031003957,1727.8188543137396,4.754614183364065,0,
2025-01-01,C01,Campaign 1,Search,US,Desktop,16656,184,173,142,312,0.33709714306671923,1961.6203427258154,173,113,65,41,38,38,4417.299720780023,133.9575021341739,32.975381373979246,0,
2025-01-01,C01,Campaign 1,Search,UK,Desktop,11632,375,383,344,495,0.38822032795468214,1696.3885421044438,383,219,78,54,51,51,2254.4818847086517,540.9864114712476,4.167353998000508,0,
2025-01-01,C01,Campaign 1,Search,EU,Desktop,14471,360,369,341,798,0.2707570939895449,1573.4809081588912,369,189,101,77,46,46,3275.6280681766925,246.615414421138,13.28233304420703,0,
